,t [yr],m acc [MSun],dm acc [MSun],m don [MSun],dm don [MSun],a [AU]
0,0.0,1.0,0.0,1.2,1.62802040437e-06,1.8
1,1.62802040437,1.00000162802,1.62802040437e-06,1.19999837198,1.61579360943e-06,1.79097641488
2,17.25067833,1.00001725068,1.50980335246e-06,1.19998274932,1.4984644826e-06,1.70319188153
3,31.7389173447,1.00003173892,1.4001713137e-06,1.19996826108,1.38965587466e-06,1.61971071208
4,45.1751191816,1.00004517512,1.29850072542e-06,1.19995482488,1.28874890918e-06,1.54032187489
5,57.6356819602,1.00005763568,1.2042133325e-06,1.19994236432,1.1951696765e-06,1.46482469565
6,69.191454938,1.00006919145,1.11677289314e-06,1.19993080855,1.10838596435e-06,1.39302834802
7,79.9081416543,1.00007990814,1.03568212445e-06,1.19992009186,1.02790422645e-06,1.32475136946
8,89.8466737662,1.00008984667,9.60479870385e-07,1.19991015333,9.53266771746e-07,1.25982120095
9,99.0635577105,1.00009906356,8.90738475792e-07,1.19990093644,8.84049158225e-07,1.19807374945
10,107.611196169,1.0001076112,8.26061351498e-07,1.1998923888,8.19857776328e-07,1.13935297192
11,115.538186171,1.00011553819,7.66080716565e-07,1.19988446181,7.60327608194e-07,1.08351047988
12,122.889595528,1.0001228896,7.10455504767e-07,1.1998771104,7.05120149886e-07,1.0304051634
13,129.707219187,1.00012970722,6.58869423333e-07,1.19987029278,6.53921484733e-07,0.97990283375
14,136.02981695,1.00013602982,6.11029152854e-07,1.19986397018,6.06440496785e-07,0.931875883457
15,141.893333921,1.00014189333,5.66662678092e-07,1.19985810667,5.62407214165e-07,0.886202963266
16,147.331104945,1.0001473311,5.25517740143e-07,1.1998526689,5.21571272876e-07,0.842768674908
17,152.374044179,1.00015237404,4.87360401119e-07,1.19984762596,4.83700492276e-07,0.801463279013
18,157.050820907,1.00015705082,4.51973713182e-07,1.19984294918,4.48579554112e-07,0.762182417384
19,161.38802257,1.00016138802,4.19156484299e-07,1.19983861198,4.16008777565e-07,0.724826848929
20,165.41030596,1.00016541031,3.88722133721e-07,1.19983458969,3.85802983318e-07,0.689302198577
21,169.140537429,1.00016914054,3.60497630626e-07,1.19983085946,3.57790440189e-07,0.655518718528
22,172.599922914,1.00017259992,3.34322509896e-07,1.19982740008,3.31811888296e-07,0.623391061241
23,175.808128516,1.00017580813,3.10047959411e-07,1.19982419187,3.07719633218e-07,0.592838063577
24,178.783392327,1.00017878339,2.87535973665e-07,1.19982121661,2.85376705963e-07,0.563782541538
25,181.542628122,1.00018154263,2.66658568865e-07,1.19981845737,2.64656083978e-07,0.53615109509
26,184.101521534,1.00018410152,2.47297055075e-07,1.19981589848,2.45439968746e-07,0.509873922578
27,186.47461924,1.00018647462,2.29341361219e-07,1.19981352538,2.27619115874e-07,0.484884644238
28,188.675411658,1.00018867541,2.12689409133e-07,1.19981132459,2.11092213841e-07,0.461120134388
29,190.716409659,1.00019071641,1.97246533084e-07,1.19980928359,1.95765307881e-07,0.438520361847
30,192.60921569,1.00019260922,1.82924941453e-07,1.19980739078,1.81551265712e-07,0.41702823819
31,194.364589739,1.00019436459,1.69643217526e-07,1.19980563541,1.68369282072e-07,0.396589473448
32,195.992510512,1.00019599251,1.57325856544e-07,1.19980400749,1.56144419251e-07,0.377152438892
33,197.502232163,1.00019750223,1.45902836373e-07,1.19980249777,1.44807180987e-07,0.358668036546
34,198.902336905,1.00019890234,1.35309219367e-07,1.19980109766,1.34293117315e-07,0.341089575106
35,200.2007838,1.00020020078,1.25484783138e-07,1.19979979922,1.24542458117e-07,0.324372651942
36,201.404954012,1.00020140495,1.16373678153e-07,1.19979859505,1.15499773286e-07,0.30847504089
37,202.521692764,1.00020252169,1.07924110188e-07,1.19979747831,1.07113657565e-07,0.293356585553
38,203.557348254,1.00020355735,1.0008804585e-07,1.19979644265,9.93364382879e-08,0.278979097823
39,204.51780775,1.00020451781,9.28209394858e-08,1.19979548219,9.21239043304e-08,0.265306261397
40,205.408531049,1.00020540853,8.60814799206e-08,1.19979459147,8.54350547562e-08,0.25230354001
41,206.234581524,1.00020623458,7.98313555898e-08,1.19979376542,7.92318657119e-08,0.239938090176
42,207.000654905,1.00020700065,7.40350367276e-08,1.19979299935,7.34790742511e-08,0.228178678204
43,207.711105971,1.00020771111,6.86595733725e-08,1.19979228889,6.81439778571e-08,0.216995601292
44,208.369973313,1.00020836997,6.36744080414e-08,1.19979163003,6.31962485244e-08,0.206360612475
45,208.981002284,1.000208981,5.9051202007e-08,1.199791019,5.86077603404e-08,0.196246849269
46,209.547666299,1.00020954767,5.47636741904e-08,1.19979045233,5.43524295881e-08,0.186628765802
47,210.073186572,1.00021007319,5.07874517527e-08,1.19978992681,5.04060664598e-08,0.177482068279
48,210.560550435,1.00021056055,4.70999315357e-08,1.19978943945,4.67462375386e-08,0.168783653608
49,211.012528316,1.00021101253,4.36801515646e-08,1.19978898747,4.33521382657e-08,0.160511551036
50,211.431689488,1.00021143169,4.05086718806e-08,1.19978856831,4.02044746688e-08,0.152644866648
51,211.820416677,1.00021182042,3.7567464028e-08,1.19978817958,3.72853536782e-08,0.145163730581
52,212.180919604,1.00021218092,3.48398085644e-08,1.19978781908,3.45781814073e-08,0.138049246835
53,212.51524755,1.00021251525,3.23102000144e-08,1.19978748475,3.20675688199e-08,0.131283445538
54,212.825301,1.0002128253,2.99642587237e-08,1.1997871747,2.97392442466e-08,0.124849237548
55,213.112842454,1.00021311284,2.77886491146e-08,1.19978688716,2.75799722536e-08,0.11873037129
56,213.379506437,1.00021337951,2.57710038763e-08,1.19978662049,2.55774784028e-08,0.112911391703
57,213.6268088,1.00021362681,2.38998536603e-08,1.19978637319,2.3720379475e-08,0.107377601198
58,213.856155331,1.00021385616,2.21645618805e-08,1.19978614384,2.19981187597e-08,0.102115022531
59,214.068849745,1.00021406885,2.05552642477e-08,1.19978593115,2.04009060435e-08,0.0971103635027
60,214.266101102,1.0002142661,1.90628126939e-08,1.1997857339,1.89196619561e-08,0.0923509833743
61,214.449030674,1.00021444903,1.76787233695e-08,1.19978555097,1.75459663569e-08,0.0878248609439
62,214.618678321,1.00021461868,1.63951284146e-08,1.19978538132,1.627201047e-08,0.0835205641788
63,214.776008401,1.00021477601,1.52047312341e-08,1.19978522399,1.50905524938e-08,0.0794272213397
64,214.921915254,1.00021492192,1.4100765019e-08,1.19978507808,1.39948764343e-08,0.0755344935196
65,215.057228284,1.00021505723,1.30769542794e-08,1.19978494277,1.29787539275e-08,0.0718325485285
66,215.182716675,1.00021518272,1.21274791715e-08,1.19978481728,1.20364088333e-08,0.0683120360584
67,215.299093762,1.00021529909,1.12469424138e-08,1.19978470091,1.11624844012e-08,0.0649640640653
68,215.407021088,1.00021540702,1.04303386061e-08,1.19978459298,1.03520128185e-08,0.0617801763095
69,215.507112164,1.00021550711,9.67302577571e-09,1.19978449289,9.60038697145e-09,0.0587523309955
70,215.599935953,1.00021559994,8.97069899e-09,1.19978440006,8.90333425503e-09,0.0558728804601
71,215.68602011,1.00021568602,8.31936588487e-09,1.19978431398,8.25689228559e-09,0.0531345518555
72,215.765853979,1.00021576585,7.71532396984e-09,1.19978423415,7.65738637634e-09,0.0505304287787
73,215.839891372,1.00021583989,7.15513958117e-09,1.19978416011,7.10140864844e-09,0.0480539338024
74,215.908553153,1.00021590855,6.63562836304e-09,1.19978409145,6.58579865883e-09,0.045698811861
75,215.972229627,1.00021597223,6.15383716603e-09,1.19978402777,6.10762543457e-09,0.0434591144517
76,216.031282761,1.00021603128,5.70702725984e-09,1.19978396872,5.66417081169e-09,0.0413291846093
77,216.086048241,1.00021608605,5.29265876493e-09,1.19978391395,5.25291398373e-09,0.039303642618
78,216.13683738,1.00021613684,4.90837621455e-09,1.19978386316,4.87151717217e-09,0.0373773724231
79,216.183938886,1.00021618394,4.55199516505e-09,1.19978381606,4.51781233728e-09,0.0355455087089
80,216.227620507,1.00021622762,4.2214897784e-09,1.19978377238,4.18978885394e-09,0.0338034246097
81,216.26813055,1.00021626813,3.91498130631e-09,1.19978373187,3.88558208217e-09,0.0321467200233
82,216.305699291,1.0002163057,3.63072741045e-09,1.1997836943,3.60346276765e-09,0.030571210497
83,216.34054029,1.00021634054,3.36711225819e-09,1.19978365946,3.34182721169e-09,0.0290729166592
84,216.372851599,1.00021637285,3.12263733738e-09,1.19978362715,3.09918815512e-09,0.0276480541673
85,216.402816891,1.00021640282,2.89591293802e-09,1.19978359718,2.87416632389e-09,0.0262930241502
86,216.430606501,1.00021643061,2.68565025255e-09,1.19978356939,2.66548258862e-09,0.0250044041175
87,216.456378399,1.00021645638,2.4906540496e-09,1.19978354362,2.47195069343e-09,0.0237789393156
88,216.480279085,1.00021648028,2.30981587968e-09,1.19978351972,2.29247051268e-09,0.0226135345065
89,216.502444421,1.00021650244,2.14210777428e-09,1.19978349756,2.12602179729e-09,0.0215052461502
90,216.523000406,1.000216523,1.98657640234e-09,1.199783477,1.97165837517e-09,0.0204512749697
91,216.560283901,1.00021656035,1.78761837386e-09,1.19978343972,1.76087124291e-09,0.0189663754448
92,216.609567796,1.00021660976,1.53745609143e-09,1.19978339043,1.51445199877e-09,0.0171528497906
93,216.651954821,1.00021665225,1.32230193716e-09,1.19978334805,1.30251707565e-09,0.0155127297385
94,216.688410135,1.0002166888,1.13725681424e-09,1.19978331159,1.12024067922e-09,0.0140294345953
95,216.719763833,1.00021672023,9.78107213971e-10,1.19978328024,9.63472345194e-10,0.0126879690813
96,216.746729842,1.00021674727,8.41229273353e-10,1.19978325327,8.28642432423e-10,0.011474771736
97,216.769922183,1.00021677052,7.23506258978e-10,1.19978323008,7.12680841448e-10,0.0103775778189
98,216.793407455,1.00021679411,5.99241920965e-10,1.19978320659,5.85843175247e-10,0.00910654265171
99,216.814499402,1.00021681532,4.77962762303e-10,1.1997831855,4.67275757207e-10,0.00783215804735
100,216.831322599,1.00021683224,3.81229007082e-10,1.19978316868,3.72704919775e-10,0.00673611293458
101,216.847252215,1.00021684831,2.86278663579e-10,1.19978315275,2.77775900829e-10,0.0055372693887
102,216.860310984,1.00021686151,2.05470936526e-10,1.19978313969,1.97871105394e-10,0.00441659452084
103,216.871047562,1.0002168724,1.35738228018e-10,1.19978312895,1.29736014111e-10,0.003333289058
104,216.8796829,1.00021688123,7.77061646134e-11,1.19978312032,7.26094316184e-11,0.00226374741553
105,216.886016359,1.00021688781,3.26581069029e-11,1.19978311398,2.8947651889e-11,0.00122623818805
106,216.88973918,1.00021689195,3.78216304039e-12,1.19978311026,2.13278136911e-12,0.000215508052181
