,a,0.00,0.05,0.10,0.30,0.60
0,1.2427,,,,-1079.53119766,-1440.93967909
1,1.2481,,,,-1074.87648676,-1434.72665117
2,1.2535,,,,-1070.26174378,-1428.56697176
3,1.2588,,,,-1065.68645616,-1422.45995666
4,1.2642,,,,-1061.15012003,-1416.40493335
5,1.2696,,,,-1056.6522401,-1410.4012407
6,1.275,,,,-1052.19232941,-1404.44822875
7,1.2804,,,,-1047.76990919,-1398.54525843
8,1.2857,,,,-1043.38450872,-1392.69170143
9,1.2911,,,,-1039.03566509,-1386.88693987
10,1.2965,,,,-1034.72292309,-1381.13036614
11,1.3019,,,,-1030.44583504,-1375.42138268
12,1.3073,,,,-1026.20396061,-1369.75940177
13,1.3126,,,,-1021.99686673,-1364.14384533
14,1.318,,,,-1017.82412737,-1358.5741447
15,1.3234,,,,-1013.68532344,-1353.0497405
16,1.3288,,,,-1009.58004264,-1347.5700824
17,1.3342,,,,-1005.50787932,-1342.13462895
18,1.3396,,,,-1001.46843435,-1336.74284738
19,1.3449,,,,-997.461314982,-1331.39421347
20,1.3503,,,,-993.486134749,-1326.08821137
21,1.3557,,,,-989.542513295,-1320.82433337
22,1.3611,,,,-985.630076295,-1315.60207984
23,1.3665,,,,-981.748455312,-1310.42095901
24,1.3718,,,,-977.897287695,-1305.28048681
25,1.3772,,,,-974.076216465,-1300.18018674
26,1.3826,,,,-970.284890189,-1295.11958972
27,1.388,,,,-966.522962894,-1290.09823396
28,1.3934,,,,-962.790093953,-1285.11566478
29,1.3987,,,,-959.085947972,-1280.17143452
30,1.4041,,,,-955.410194707,-1275.26510236
31,1.4095,,,,-951.762508949,-1270.39623423
32,1.4149,,,,-948.142570446,-1265.56440266
33,1.4203,,,,-944.550063797,-1260.76918665
34,1.4257,,,,-940.984678357,-1256.01017156
35,1.431,,,,-937.446108162,-1251.286949
36,1.4364,,,,-933.934051829,-1246.59911668
37,1.4418,,,,-930.448212471,-1241.94627833
38,1.4472,,,,-926.988297626,-1237.32804358
39,1.4526,,,,-923.554019157,-1232.74402782
40,1.4579,,,,-920.145093188,-1228.19385213
41,1.4633,,,,-916.761240013,-1223.67714318
42,1.4687,,,,-913.402184031,-1219.1935331
43,1.4741,,,,-910.067653662,-1214.74265938
44,1.4795,,,,-906.757381279,-1210.3241648
45,1.4849,,,,-903.471103131,-1205.93769731
46,1.4902,,,,-900.208559284,-1201.58290996
47,1.4956,,,,-896.969493537,-1197.25946077
48,1.501,,,,-893.75365337,-1192.96701269
49,1.5064,,,,-890.560789866,-1188.70523345
50,1.5118,,,,-887.390657655,-1184.47379556
51,1.5171,,,,-884.24301485,-1180.27237613
52,1.5225,,,,-881.117622981,-1176.10065688
53,1.5279,,,,-878.014246937,-1171.95832397
54,1.5333,,,,-874.932654913,-1167.84506799
55,1.5387,,,,-871.872618337,-1163.76058385
56,1.544,,,,-868.833911835,-1159.70457073
57,1.5494,,,,-865.816313158,-1155.67673196
58,1.5548,,,,-862.819603133,-1151.67677501
59,1.5602,,,,-859.843565613,-1147.70441136
60,1.5656,,,,-856.887987425,-1143.75935648
61,1.571,,,,-853.95265831,-1139.84132971
62,1.5763,,,,-851.037370889,-1135.95005425
63,1.5817,,,,-848.141920597,-1132.08525705
64,1.5871,,,,-845.266105649,-1128.24666875
65,1.5925,,,,-842.409726988,-1124.43402369
66,1.5979,,,,-839.572588233,-1120.64705972
67,1.6032,,,,-836.754495646,-1116.88551825
68,1.6086,,,,-833.955258076,-1113.14914412
69,1.614,,,,-831.174686925,-1109.43768561
70,1.6194,,,,-828.412596101,-1105.75089433
71,1.6248,,,,-825.668801978,-1102.08852516
72,1.6302,,,,-822.943123353,-1098.45033625
73,1.6355,,,,-820.235381412,-1094.83608891
74,1.6409,,,,-817.545399678,-1091.2455476
75,1.6463,,,,-814.873003991,-1087.67847984
76,1.6517,,,,-812.218022457,-1084.13465619
77,1.6571,,,,-809.580285412,-1080.61385019
78,1.6624,,,,-806.959625397,-1077.1158383
79,1.6678,,,,-804.355877102,-1073.64039989
80,1.6732,,,,-801.768877354,-1070.18731716
81,1.6786,,,,-799.198465072,-1066.75637509
82,1.684,,,,-796.644481227,-1063.34736141
83,1.6893,,,,-794.106768822,-1059.96006657
84,1.6947,,,,-791.585172855,-1056.59428367
85,1.7001,,,,-789.079540278,-1053.24980843
86,1.7055,,,,-786.589719988,-1049.92643916
87,1.7109,,,,-784.115562773,-1046.62397669
88,1.7163,,,,-781.656921293,-1043.34222436
89,1.7216,,,,-779.213650058,-1040.08098797
90,1.727,,,,-776.78560538,-1036.84007572
91,1.7324,,,,-774.372645366,-1033.61929823
92,1.7378,,,,-771.974629878,-1030.41846842
93,1.7432,,,,-769.591420505,-1027.23740156
94,1.7485,,,,-767.222880545,-1024.07591519
95,1.7539,,,,-764.868874968,-1020.93382905
96,1.7593,,,,-762.529270402,-1017.81096514
97,1.7647,,,,-760.203935099,-1014.7071476
98,1.7701,,,,-757.89273891,-1011.6222027
99,1.7754,,,,-755.595553272,-1008.55595885
100,1.7808,,,,-753.31225117,-1005.50824649
101,1.7862,,,,-751.042707121,-1002.47889815
102,1.7916,,,,-748.786797149,-999.467748339
103,1.797,,,,-746.544398755,-996.474633563
104,1.8024,,,,-744.315390929,-993.499392271
105,1.8077,,,,-742.099654077,-990.541864848
106,1.8131,,,,-739.89707003,-987.601893566
107,1.8185,,,,-737.707522024,-984.679322557
108,1.8239,,,,-735.530894666,-981.773997817
109,1.8293,,,,-733.367073925,-978.885767127
110,1.8346,,,,-731.2159471,-976.014480064
111,1.84,,,,-729.077402833,-973.159987972
112,1.8454,,,,-726.951331036,-970.322143924
113,1.8508,,,,-724.837622915,-967.500802694
114,1.8562,,,,-722.736170935,-964.695820745
115,1.8616,-997.276707449,,,-720.646868805,-961.907056212
116,1.8669,-994.402067377,-1046.39051572,,-718.569611452,-959.134368849
117,1.8723,-991.543951914,-1043.23233375,,-716.504295034,-956.377620032
118,1.8777,-988.702218985,-1040.09701738,-1097.97745775,-714.450816877,-953.636672721
119,1.8831,-985.876728135,-1036.94365463,-896.722796174,-712.409075487,-950.911391444
120,1.8885,-983.067340514,-1033.82996278,-894.167464609,-710.378970527,-948.201642269
121,1.8938,-980.273918849,-1030.77567362,-891.626655178,-708.3604028,-945.507292798
122,1.8992,-977.496327419,-1027.72989815,-889.100244438,-706.35327423,-942.828212124
123,1.9046,-974.734432041,-1024.62259624,-886.588110339,-704.357487866,-940.164270825
124,1.91,-971.988100045,-1021.5896065,-884.090132207,-702.372947831,-937.51534093
125,1.9154,-969.257200249,-1018.56506423,-881.606190729,-700.399559332,-934.881295917
126,1.9207,-966.541602943,-1015.63119305,-879.136167908,-698.437228638,-932.262010666
127,1.9261,-963.841179866,-1012.62745403,-876.679947102,-696.485863065,-929.657361474
128,1.9315,-961.155804185,-1009.63203407,-874.237412941,-694.545370956,-927.067226
129,1.9369,-958.48535048,-1006.73694304,-871.808451335,-692.615661693,-924.491483275
130,1.9423,-955.829694717,-1003.76197086,-869.392949487,-690.696645643,-921.930013669
131,1.9477,-953.188714236,-1000.89290563,-866.990795817,-688.788234167,-919.382698863
132,1.953,-950.562287728,-997.938136839,-864.60187998,-686.890339608,-916.849421859
133,1.9584,-947.950295216,-995.094740422,-862.226092866,-685.002875267,-914.330066927
134,1.9638,-945.35261804,-992.264912303,-859.863326535,-683.125755391,-911.824519623
135,1.9692,-942.769138835,-989.341869432,-857.513474238,-681.258895187,-909.332666737
136,1.9746,-940.199741519,-986.537172418,-855.176430379,-679.402210762,-906.85439631
137,1.9799,-937.644311267,-983.74575009,-852.852090537,-677.555619147,-904.389597588
138,1.9853,-935.102734505,-980.967501628,-850.540351397,-675.719038265,-901.938161024
139,1.9907,-932.57489888,-978.087034609,-848.24111076,-673.892386932,-899.49997825
140,1.9961,-930.060693257,-975.333220636,-845.954267557,-672.075584834,-897.074942073
141,2.0015,-927.560007693,-972.592301485,-843.679721779,-670.268552537,-894.662946448
142,2.0068,-925.072733425,-969.864181054,-841.417374499,-668.47121144,-892.263886471
143,2.0122,-922.598762854,-967.14876438,-839.167127838,-666.683483789,-889.87765836
144,2.0176,-920.137989526,-964.445957626,-836.928884989,-664.905292664,-887.504159432
145,2.023,-917.690308125,-961.75566806,-834.702550148,-663.136561956,-885.143288114
146,2.0284,-915.255614447,-959.077804047,-832.488028529,-661.377216363,-882.79494389
147,2.0338,-912.833805396,-956.412275025,-830.285226372,-659.627181397,-880.459027323
148,2.0391,-910.424778961,-953.758991497,-828.094050886,-657.886383341,-878.135440022
149,2.0445,-908.028434207,-951.117865011,-825.914410261,-656.154749251,-875.824084626
150,2.0499,-905.644671256,-948.488808148,-823.746213646,-654.43220696,-873.524864807
151,2.0553,-903.273391279,-945.871734506,-821.589371164,-652.718685049,-871.237685237
152,2.0607,-900.914496477,-943.266558687,-819.443793851,-651.01411285,-868.962451589
153,2.066,-898.567890073,-940.673196281,-817.309393676,-649.31842042,-866.699070512
154,2.0714,-896.233476294,-938.22939599,-815.186083539,-647.631538568,-864.447449635
155,2.0768,-893.911160359,-935.660785442,-813.073777225,-645.953398796,-862.207497534
156,2.0822,-891.600848466,-933.10372499,-810.972389415,-644.283933324,-859.979123737
157,2.0876,-889.302447784,-930.558134072,-808.881835663,-642.623075067,-857.762238704
158,2.093,-887.015866432,-928.02393305,-806.802032415,-640.970757634,-855.556753817
159,2.0983,-884.741013476,-925.501043196,-804.732896951,-639.326915307,-853.362581362
160,2.1037,-882.477798914,-923.133562307,-802.674347396,-637.691483057,-851.179634525
161,2.1091,-880.226133651,-920.634355038,-800.626302735,-636.064396503,-849.007827386
162,2.1145,-877.985929502,-918.146212398,-798.588682754,-634.445591927,-846.847074882
163,2.1199,-875.7570992,-915.669059205,-796.561408056,-632.835006254,-844.697292829
164,2.1252,-873.539556335,-913.202821123,-794.544400066,-631.232577048,-842.558397885
165,2.1306,-871.33321538,-910.896300749,-792.537580985,-629.638242503,-840.430307567
166,2.136,-869.13799167,-908.452901384,-790.540873803,-628.051941449,-838.312940204
167,2.1414,-866.953801388,-906.020183602,-788.554202279,-626.473613314,-836.206214957
168,2.1468,-864.780561562,-903.749013968,-786.577490954,-624.903198138,-834.110051796
169,2.1521,-862.618190046,-901.338642219,-784.610665107,-623.340636564,-832.024371483
170,2.1575,-860.466605516,-898.938725969,-782.653650759,-621.785869826,-829.949095583
171,2.1629,-858.325727456,-896.549196577,-780.706374691,-620.238839735,-827.884146433
172,2.1683,-856.195476151,-894.32407966,-778.768764387,-618.6994887,-825.829447147
173,2.1737,-854.075772673,-891.956268289,-776.84074806,-617.16775968,-823.7849216
174,2.1791,-851.966538875,-889.598627143,-774.922254621,-615.643596206,-821.750494409
175,2.1844,-849.867697373,-887.407078031,-773.013213705,-614.126942364,-819.726090946
176,2.1898,-847.779171567,-885.070696162,-771.113555617,-612.617742791,-817.711637312
177,2.1952,-845.700885582,-882.744274688,-769.223211345,-611.115942656,-815.707060332
178,2.2006,-843.632764296,-880.58556555,-767.342112575,-609.621487691,-813.712287546
179,2.206,-841.574733319,-878.279958288,-765.470191635,-608.134324131,-811.727247203
180,2.2113,-839.526718986,-875.984108142,-763.607381523,-606.654398745,-809.751868255
181,2.2167,-837.488648345,-873.857531992,-761.753615877,-605.181658818,-807.786080331
182,2.2221,-835.460449154,-871.582064164,-759.908829001,-603.716052146,-805.829813752
183,2.2275,-833.442049865,-869.476398221,-758.072955812,-602.257527023,-803.882999511
184,2.2329,-831.433379624,-867.221026393,-756.245931855,-600.806032261,-801.945569267
185,2.2383,-829.434368256,-864.975081818,-754.427693315,-599.361517141,-800.017455323
186,2.2436,-827.44494626,-862.900414406,-752.618176969,-597.923931442,-798.098590659
187,2.249,-825.465044791,-860.674154915,-750.817320206,-596.493225424,-796.188908874
188,2.2544,-823.494595687,-858.457135699,-749.025061006,-595.069349817,-794.288344202
189,2.2598,-821.53353141,-856.412811881,-747.24133796,-593.652255826,-792.396831517
190,2.2652,-819.581785073,-854.215078769,-745.466090222,-592.241895109,-790.514306294
191,2.2705,-817.639290423,-852.190499591,-743.699257523,-590.838219805,-788.640704637
192,2.2759,-815.705981832,-850.011787713,-741.940780185,-589.441182482,-786.775963242
193,2.2813,-813.781794293,-848.006675429,-740.190599072,-588.050736165,-784.920019412
194,2.2867,-811.86666341,-845.846725009,-738.448655605,-586.666834321,-783.072811036
195,2.2921,-809.960525392,-843.69559079,-736.714891775,-585.289430856,-781.234276577
196,2.2974,-808.063317047,-841.719363231,-734.989250097,-583.918480098,-779.404355089
197,2.3028,-806.174975771,-839.586617827,-733.271673629,-582.55393682,-777.58298619
198,2.3082,-804.295439546,-837.629184876,-731.562105956,-581.195756203,-775.77011006
199,2.3136,-802.424646923,-835.514580615,-729.860491204,-579.843893846,-773.965667434
